year,sth,1,2,3,4,5
2003–06,LE,18.7,17.8,17.2,16.2,14.9
,DFLE,13.2,11.7,10.5,10,8.1
2007-10,LE,19.8,19,18.3,17.1,15.7
,DFLE,12.9,11.7,10.6,9.4,7.5
