year,type,All ages,0-16,17-20,21-29,30-39,40-49,50-59,60-69,70+
2004,Visit friends elsewhere,44,26,60,57,49,46,49,53,38
2004,Sport / entertainment,69,83,81,57,60,66,65,82,64
2004,Holiday / day trip,34,34,21,25,31,36,42,47,33
2004,Other including just walk,38,31,20,19,34,46,50,60,40
2003,Commuting,165,11,200,286,270,271,246,92,7
2003,Business,34,1,13,37,54,68,67,25,3
2003,Education,69,264,158,34,6,4,2,1,0
2003,Escort education,50,46,5,42,111,91,20,15,5
2003,Shopping,209,79,127,183,224,249,265,326,290
2003,Other escort,95,144,37,58,117,125,86,64,30
2003,Personal business,107,74,66,83,106,117,121,156,142
2003,Visit friends at private home,119,150,152,137,117,103,101,108,81
2003,Visit friends elsewhere,48,29,76,63,57,51,50,50,34
2003,Sport / entertainment,66,80,68,63,63,59,59,73,59
2003,Holiday / day trip,35,35,25,21,36,35,46,49,29
2003,Other including just walk,38,29,16,25,35,46,54,56,40
2002,Commuting,163,11,219,267,253,288,256,83,5
2002,Business,35,1,10,36,69,70,64,18,1
2002,Education,63,242,120,33,7,3,1,1,0
2002,Escort education,45,40,7,36,111,78,20,12,3
2002,Shopping,216,82,155,193,230,252,268,340,293
2002,Other escort,104,155,37,76,130,138,86,71,32
2002,Personal business,114,71,69,89,117,131,140,166,144
2002,Visit friends at private home,123,149,172,137,119,104,117,119,79
2002,Visit friends elsewhere,49,26,90,69,52,53,50,51,40
2002,Sport / entertainment,67,83,63,65,59,60,65,76,53
2002,Holiday / day trip,34,34,17,24,35,35,40,44,32
2002,Other including just walk,38,22,26,15,29,46,60,73,46
