,ALL16-24,ALL25-49,ALL50-SPA1,ALLSPA+1,w16-24,w25-49,w50-SPA1,wSPA+1
Apr-Jun 2012,63.6,85.6,74.7,12.1,61.0,78.8,73.4,12.0
Jul-Sep 2012,63.8,85.7,74.8,12.0,61.2,79.0,73.1,11.9
Oct-Dec 2012,64.0,85.8,74.9,12.1,61.6,79.1,73.0,11.8
Jan-Mar 2013,64.0,85.9,75.0,12.0,61.8,79.2,73.0,11.6
Apr-Jun 2013,63.6,86.0,75.2,12.0,61.6,79.3,73.1,11.4
Jul-Sep 2013,63.6,86.0,75.4,12.1,61.7,79.4,73.3,11.3
Oct-Dec 2013,63.4,85.9,75.6,12.1,61.5,79.3,73.3,11.3
Jan-Mar 2014,63.3,86.0,75.7,12.2,61.3,79.4,73.2,11.3
Apr-Jun 2014,63.2,86.1,75.6,12.2,61.4,79.6,72.9,11.3
Jul-Sep 2014,62.9,86.2,75.5,12.1,61.3,79.7,72.7,11.2
Oct-Dec 2014,62.8,86.3,75.3,12.1,61.2,79.8,72.4,11.0
