year,1925,1950,2015,2050
0,10,9.2,6.5,5.7
5,8.5,7.5,6.2,5.7
10,9.6,7.1,5.6,5.5
15,9.6,6.2,6.1,5.5
20,8.8,6.9,6.9,5.9
25,7.4,8.1,7,6.3
30,6.9,7,6.8,6.5
35,6.6,8,6.3,6.4
40,6.6,7.9,6.6,6.2
45,6.2,7.2,7.1,5.5
50,5.7,5.9,7,5.8
55,4.5,5.1,6,6
60,3.6,4.5,5.3,5.6
65,2.6,3.7,5.5,5.1
70,1.7,2.8,4,4.5
75,0.9,1.8,3,4.3
80,0.4,0.8,2.1,3.9
85,0.1,0.2,1.1,3
90,0.02,0.04,0.4,1.7
95,0.003,0.004,0.09,0.92
