sector,variable,categroy,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All industries,type,SE,3304.398,3304.86,3371.708,3438.422,3455.986,3405.993,3285.952,3282.989,3177.987,3200.992,3269.978,3444.986,3514.959,3492.973,3579.982,3677.996,3699.979,3698.994,3850.978,3928.009,4185.989,4172.193,4170.227,4173.619,4175.384,4179.233,4184.242,4192.707,4199.44,4201.996,4204.277
Primary sector and utilities,gender,Women,218.209,216.391,195.275,178.988,171.71,182.274,197.803,183.248,175.911,186.887,185.946,164.325,154.07,170.584,165.723,158.594,170.595,175.471,187.15,183.822,209.864,191.754,193.923,195.848,197.726,199.886,200.532,201.97,203.279,204.685,206.442
Primary sector and utilities,gender,Men,742.067,695.673,663.486,630.919,635.975,665.898,625.284,583.951,557.944,523.342,511.8,495.078,503.332,509.533,517.932,531.241,552.762,551.294,599.446,589.83,608.66,563.532,564.801,566.165,567.286,569.217,567.482,567.492,567.097,566.739,566.981
Manufacturing,gender,Women,1288.552,1238.101,1224.533,1222.703,1211.173,1229.869,1217.14,1117.12,1065.455,1016.157,965.558,870.552,827.362,773.124,738.762,736.045,700.014,623.339,614.325,594.29,635.172,630.084,628.759,625.651,625.971,625.458,623.801,621.941,620.548,619.086,618.427
Manufacturing,gender,Men,2932.262,2808.206,2833.855,2918.382,2997.947,3022.564,3059.145,2983.614,2912.428,2795.32,2661.294,2566.625,2460.432,2347.037,2287.841,2243.563,2183.42,2019.506,1948.112,1963.233,2010.471,1986.958,1972.735,1951.233,1935.535,1916.545,1894.339,1870.607,1846.653,1822.176,1799.531
Construction,gender,Women,249.433,242.903,250.974,238.933,256.557,216.966,256.397,265.471,266.747,269.959,254.691,271.8,279.892,285.576,305.075,295.441,298.515,267.915,236.56,252.502,252.361,250.001,255.521,263.147,270.303,276.176,281.997,288.514,294.609,299.255,303.69
Construction,gender,Men,1682.173,1579.955,1562.112,1560.051,1571.033,1562.911,1589.859,1622.793,1676.876,1689.965,1731.59,1775.369,1835.501,1905.165,1949.132,2010.589,1986.263,1971.136,1845.53,1788.841,1757.415,1735.588,1763.75,1806.024,1844.908,1874.719,1903.924,1937.59,1968.244,1989.105,2008.496
"Trade, accomod. and transport",gender,Women,3508.979,3487.287,3518.068,3580,3666.739,3717.326,3717.243,3741.04,3810.966,3841.321,3907.204,3893.213,3920.363,3926.127,3879.779,3816.7,3797.901,3729.582,3581.482,3628.294,3757.086,3743.224,3754.303,3760.154,3782.077,3808.901,3842.179,3880.585,3920.822,3955.912,3986.869
"Trade, accomod. and transport",gender,Men,3958.739,3894.114,3918.501,3998.545,3942.186,4109.692,4146.268,4207.765,4194.063,4329.105,4381.589,4466.564,4492.754,4544.394,4596.676,4694.863,4810.774,4628.603,4592.972,4597.896,4815.224,4815.592,4812.549,4808.615,4822.783,4844.268,4873.65,4908.429,4946.111,4976.501,5001.746
Business and other services,gender,Women,3073.196,3102.799,3144.23,3292.666,3411.89,3523.183,3496.469,3602.825,3758.131,3847.157,3904.417,3891.999,3968.817,4040.988,4155.343,4313.895,4379.789,4180.838,4152.876,4182.231,4329.393,4423.812,4475.389,4526.865,4569.5,4609.569,4649.048,4689.906,4728.65,4767.099,4806.658
Business and other services,gender,Men,3227.016,3260.923,3326.533,3439.198,3470.242,3644.094,3826.117,4048.131,4176.418,4373.764,4471.503,4611.594,4663.273,4788.482,4944.744,5003.556,5127.895,5039.286,5074.083,5125.933,5335.135,5469.305,5538.741,5606.141,5665.16,5718.449,5771.617,5826.073,5877.764,5929.531,5982.257
Non-market services,gender,Women,4478.647,4495.16,4535.604,4565.844,4628.569,4619.12,4599.206,4591.539,4760.521,4816.46,4977.367,5154.058,5308.989,5486.814,5599.977,5596.574,5601.575,5751.97,5966.497,5896.872,5902.145,6017.755,5984.826,5954.657,5920.197,5945.333,6004.669,6056.247,6105.183,6157.772,6212.64
Non-market services,gender,Men,1798.1,1752.334,1759.548,1758.164,1739.964,1751.067,1738.019,1898.502,1942.483,1990.564,2016.031,2105.793,2176.13,2188.163,2231.995,2225.912,2290.474,2387.017,2334.919,2339.23,2313.062,2334.601,2300.589,2273.887,2243.323,2241.058,2251.808,2262.064,2270.05,2278.187,2287.062
All industries,gender,Women,12817.016,12782.641,12868.684,13079.134,13346.638,13488.738,13484.258,13501.243,13837.731,13977.941,14195.183,14245.947,14459.493,14683.213,14844.659,14917.249,14948.389,14729.115,14738.89,14738.011,15086.021,15256.63,15292.721,15326.322,15365.774,15465.323,15602.226,15739.163,15873.091,16003.809,16134.726
All industries,gender,Men,14340.357,13991.205,14064.035,14305.259,14357.347,14756.226,14984.692,15344.756,15460.212,15702.06,15773.807,16021.023,16131.422,16282.774,16528.32,16709.724,16951.588,16596.842,16395.062,16404.963,16839.967,16905.576,16953.165,17012.065,17078.995,17164.256,17262.82,17372.255,17475.919,17562.239,17646.073
