a_racel,a_sf1,a_sf2a,a_sex_cr,a_age_cr,a_netinc1,a_indpxus_xw
1,3,3,2,52,792.0001221,1.051008463
1,2,3,1,49,2300,1.127645731
1,5,1,1,83,1389.015015,1.25562942
1,5,2,2,81,675.999939,1.243819118
1,4,3,2,24,550,0.930301607
1,3,3,2,45,1191,1.020519495
1,4,1,1,56,-166.6640625,1.079075813
1,3,3,2,52,413.5,1.167097688
1,3,3,1,65,483.4999695,1.301870584
1,2,3,1,24,870.666687,1.811160564
1,2,3,1,54,260,1.078729868
4,1,3,1,35,2009.026733,1.137624264
4,3,3,2,36,857.666687,0.852475941
1,1,3,2,39,185.2558136,0.869600058
1,4,3,1,37,2292.25,1.17329216
1,3,3,1,30,65.00000763,0.901748121
1,1,3,2,28,1273.666626,0.878300786
1,2,3,1,29,2660.333252,1.386836886
1,2,3,2,44,2034.693359,1.001375556
1,2,3,2,16,86.66666412,1.039516449
1,3,1,2,23,1469.034668,0.998343587
1,1,3,1,24,1347.333374,1.344279289
1,2,3,1,35,3314.35376,1.139861345
1,2,2,2,34,86.66001892,0.853139579
1,3,3,2,47,2194.993408,0.996085107
1,3,3,1,53,3195.416748,1.24977231
1,4,3,2,50,2224.534424,1.064146757
-7,1,-7,1,20,44.81260681,1.577538371
-7,2,-7,1,16,152.0832977,1.277929783
1,2,3,2,40,1599.552979,0.904321194
1,5,1,2,95,905.1942139,1.460461378
1,4,3,1,86,804.3308716,1.291666627
1,4,2,2,79,0,1.286797404
1,1,3,1,53,1491,1.511776447
1,4,2,2,47,2573.193115,1.189703107
1,2,3,1,21,205.0555267,1.713599563
1,4,2,2,19,77.66666412,1.125680566
-7,1,-7,1,17,33.22383881,1.388149858
1,3,2,1,44,1291,1.175781965
1,2,3,2,37,2316.659912,0.813060522
1,1,3,2,56,1559.451538,0.868617237
-7,3,-7,1,21,0,1.427830458
1,3,3,1,17,0.347222209,1.156654477
1,3,3,1,66,1276.799805,1.093150735
1,3,3,2,66,234.0000305,1.058601022
1,2,3,1,39,1053.666626,1.039621353
1,4,3,2,35,1091,0.793260098
1,1,3,1,39,2814.060059,1.221510053
1,4,3,2,35,1087.060059,0.886041403
1,3,3,2,48,1418.193359,1.229674101
1,2,3,1,18,617.166687,1.500985384
1,1,3,1,25,861,1.497314334
1,3,3,2,24,1434,1.047405005
1,5,1,2,58,685.5766602,1.028928518
1,4,3,1,75,624.000061,1.457736969
1,1,3,2,34,2191,0.788574994
1,1,3,2,78,380.7553711,1.329708576
4,2,3,1,86,433.3334045,1.323213696
1,2,3,2,64,1905.166626,0.936099887
1,2,3,1,70,730.1668701,1.00419724
4,2,3,2,33,87.0072403,0.852868736
9,2,3,2,39,5549.637207,0.46096319
-7,2,-7,1,43,6720.776855,1.255887389
1,2,3,1,73,2535.833252,0.840705097
1,2,2,1,57,2295.166748,1.060356379
1,1,3,1,44,706.8133545,1.280501604
1,1,3,2,43,836.2146606,0.997852743
1,2,3,2,31,1491,0.924777865
1,4,2,1,39,4794.472168,1.181770325
1,4,3,1,50,815.666687,1.064816952
1,1,3,1,38,4335.173828,1.11138165
8,1,3,2,36,4912.388672,0.301869988
1,2,3,2,35,2191.208252,0.851920545
1,1,3,1,34,2191,1.003078818
1,3,3,1,66,1295.736084,1.136052608
1,4,3,2,61,897.819519,0.881088853
1,5,3,2,63,146.1985779,0.999277174
8,2,3,2,39,0.347222209,0.309382468
-7,2,-7,1,43,2083.720215,1.263825774
1,4,3,1,65,595.527832,0.838153362
1,4,2,1,69,1220.137817,0.838153362
1,3,3,1,42,796.9462891,1.058911204
1,3,3,2,27,403.2687683,0.837696552
1,2,3,1,29,1128.5,1.143872499
1,5,2,2,29,1260.993408,0.862639964
1,2,3,2,36,666.0266113,0.793980837
1,2,3,1,38,1394.859985,0.910962284
1,1,3,1,47,1395,0.915130615
1,5,3,1,38,2439.333008,0.884614766
1,5,1,2,33,1190.526733,0.848743021
1,3,3,2,74,236.1667175,1.055402517
1,3,2,2,77,653.4009399,1.138507247
1,4,3,2,42,2169.907227,0.822425842
1,3,3,2,40,764.3933716,1.013574481
1,3,3,1,18,337.6666565,1.24634397
1,4,3,1,31,631,0.981979489
4,5,3,2,55,1070.666626,1.102466702
1,3,1,1,85,0,1.414156675
1,3,3,1,48,260,1.172130585
1,2,3,2,51,1398.200684,0.999656141
1,3,3,1,53,987.666687,1.196095109
1,3,2,2,80,1110.923096,1.057531953
1,3,1,2,62,1250.16687,0.892570436
1,1,3,1,52,0,1.211179256
1,2,3,2,30,433.0767212,1.042699456
1,4,3,2,64,1.388888478,0.933009863
1,2,3,1,66,1663.388916,1.042816281
1,2,3,2,38,1054.859985,0.858779848
-7,3,-7,1,41,840.6781616,1.188358545
2,3,3,2,28,666.3266602,0.937516212
1,4,2,1,37,987.666687,0.941341162
1,4,1,1,73,866.6665039,0.999954104
1,2,3,1,50,1191,1.11634481
1,4,3,1,44,1570.826904,1.189052582
-7,3,-7,2,39,656.0318604,0.859103441
-7,1,-7,1,20,192.9171753,1.447388172
1,3,3,2,16,65.00000763,0.93310976
-7,1,-7,1,20,0,1.447388172
1,2,3,1,30,2019,1.17609179
1,2,3,2,27,1325,0.968686819
1,4,3,1,71,1173.888916,1.014828324
1,3,3,1,64,333.3333435,1.173607945
1,1,3,2,73,333.3333435,1.02801013
1,4,3,1,39,1430.785156,0.853161395
1,2,3,2,66,968.416626,1.021297455
1,5,2,1,68,1427.026978,0.971424639
1,3,3,2,67,481.0000305,1.064643502
1,3,3,2,41,363.9988708,1.01631546
1,3,3,2,72,492.1873474,0.964171112
1,1,3,2,75,914.0870972,1.245669127
1,2,3,2,60,624.000061,0.907335281
1,3,3,2,34,734.2600098,0.958158374
1,1,3,1,50,1278.143921,1.289460659
1,2,3,1,17,0,1.069467068
1,2,3,1,19,914,0.990770042
1,3,3,2,42,641,0.969313979
1,4,2,2,42,1213.659912,0.927079201
1,4,3,2,45,1428.193237,1.021021962
1,3,3,2,18,205.8333588,0.914877117
1,3,3,2,62,531.833313,0.891425967
1,2,3,1,48,4816.98584,1.131638646
1,4,3,2,47,666,1.035849333
1,1,3,2,37,462.6914978,1.029299974
1,3,2,1,39,641,1.192560434
9,2,1,1,53,4612.371582,0.597666502
1,4,1,1,71,849.3334351,1.7531147
1,4,2,2,71,329.3333435,1.431342483
1,5,1,2,36,398.6665649,1.515967727
1,4,1,1,61,1074.333374,1.364949346
1,5,1,2,60,894.666626,1.027992725
1,1,2,2,27,820.8599854,1.016739726
1,2,3,2,36,1150.159912,0.928524673
1,3,3,1,35,1118.75,1.029818773
1,1,1,2,87,433.3334045,1.810511351
-7,5,-7,2,73,445.5339966,1.158142209
1,5,1,2,89,892.666687,1.496577263
1,3,2,1,57,589.3334351,1.050674319
1,2,2,1,66,563.333374,1.030307889
1,1,3,2,54,381,1.214932323
1,4,3,2,49,381,0.956744611
1,4,2,2,41,86.66001892,1.154857993
1,4,2,1,46,1074.333374,1.45502758
1,1,3,1,21,641,2.251854897
1,1,3,1,18,566.6668091,1.555148125
1,1,3,1,27,1074.333374,1.483513951
1,1,3,2,28,1247.666626,1.097784042
1,4,3,1,52,8333.333008,1.619613767
1,1,3,2,36,4000,1.049227715
1,1,3,1,18,580.333313,1.916791439
1,2,3,1,37,1691,0.984547853
1,4,3,2,37,947.6600342,0.88613379
1,4,2,1,72,891,0.99351424
1,2,3,1,38,2193.083252,0.924158931
1,2,3,2,35,875.6600342,0.841614485
1,2,3,2,52,1044.079102,0.968810201
1,1,3,1,60,1944.47229,1.265596151
1,3,3,1,20,0,1.570883989
1,5,1,2,89,1294.567871,1.580546021
4,3,3,2,20,0,1.230546594
1,3,3,1,65,2342.069092,1.098413229
1,4,3,2,66,434.3623657,1.19066608
1,1,3,1,41,2244.75,1.149279594
1,1,3,1,56,2447.682617,1.248687267
9,2,3,1,47,1871.716919,0.692413688
9,3,3,2,38,1534.859985,0.530615389
1,2,3,2,36,1091,0.85253036
1,2,3,1,32,1441,1.144031048
9,2,3,1,40,2993.083252,0.68945092
9,2,3,2,37,541,0.498978645
1,2,3,1,39,1586.630737,0.941704392
1,2,3,2,38,1062.193359,0.851804852
1,1,3,2,64,1285.166748,0.860971451
1,2,3,2,54,337.6666565,0.954887092
-7,1,-7,1,23,0,1.423045754
1,5,1,2,83,1445.750122,1.029785037
1,2,3,2,27,723.3266602,0.905856848
1,5,2,1,71,558.999939,0.993308723
1,1,3,1,53,619.666687,1.251183152
1,2,3,2,52,1117.666626,0.926742911
1,3,2,1,66,520.000061,0.89226079
1,4,3,2,70,543.041687,0.999585807
-7,5,-7,1,77,411.6497803,1.130207777
1,4,2,1,76,1083.333618,1.010669827
4,3,3,1,30,827.333313,1.144029856
4,2,3,2,26,741,0.942275107
1,2,3,1,53,416.0000305,1.140599728
1,2,3,2,17,211,1.087306976
1,2,3,2,47,2936.168457,0.934746563
1,5,1,1,52,1207.583984,1.281096101
1,1,3,2,42,1169.32666,1.04640162
1,3,3,1,49,1657.666626,1.180966854
1,2,3,1,17,73.33333588,1.121986032
1,3,3,1,53,833.7070313,1.102433443
1,1,3,1,28,2594.472168,1.117343664
1,3,2,2,79,1031.327759,1.231819987
1,3,3,1,29,933.5,1.217668891
1,3,3,2,26,590.1932373,0.92612946
1,4,1,2,88,1020.499878,1.465732098
1,5,1,1,85,872.34729,1.4249928
1,4,2,2,86,355.5772705,1.555473089
1,2,3,1,35,1991.694458,0.997059703
1,3,3,2,31,1821,0.944212496
1,2,3,2,42,1416.660034,0.974584222
14,4,3,2,45,1107.659912,0.231795415
14,2,3,1,45,1719.32666,0.256238669
14,2,3,2,44,1980.860107,0.227981195
1,1,3,1,17,532.666687,1.089263678
1,2,3,1,32,1581.132324,1.199582934
1,3,3,2,36,1396.412354,0.890337944
14,3,1,1,45,999.3432007,0.197104722
1,2,3,1,23,1571,1.796580434
1,2,3,1,21,792.944458,1.644188643
-7,2,-7,1,23,861.6253662,1.796580434
1,2,3,1,36,1291,1.000996828
9,1,3,1,43,186.6600037,0.494114488
9,3,3,2,43,722.0599365,0.383776635
9,2,3,1,20,0,0.646434784
9,1,3,2,17,0,0.38432312
1,1,3,2,59,1107.777954,1.132897258
1,3,3,1,18,859.2333374,1.645766616
4,4,3,2,56,1787.34729,1.590146542
1,3,3,1,62,1793.777832,1.697592497
1,2,3,1,33,5077.660156,1.183393002
1,1,3,2,32,2781.132324,0.94910264
1,4,3,1,27,1191.694458,2.430123329
1,3,3,2,26,1075.027832,1.870525241
1,1,3,2,41,1597.944458,1.853966951
1,1,3,1,47,109.7639542,2.251824379
-1,3,2,1,80,1971.978516,1.552458405
-1,2,3,2,64,712.333374,0.915049553
1,1,3,1,29,1391,1.294957757
1,2,3,2,28,1432.886108,0.98230058
5,1,3,1,24,964,0.256038219
1,2,3,2,40,1657.365479,0.899048567
1,5,1,2,89,0.243995324,1.753267765
1,4,1,2,82,490.3459167,1.032224894
1,3,3,1,51,940,1.090496302
1,4,3,2,45,675.6600342,0.960136354
1,2,3,2,21,408.3333435,1.088094234
1,1,3,2,16,10.00000095,1.111948848
1,4,3,2,45,760.597229,1.042192936
1,1,3,1,22,1342.041626,1.379943609
1,4,3,2,19,208,1.191731215
1,2,3,1,26,2436.972412,1.130337596
1,3,3,2,35,189.4051514,0.926877737
-7,3,-7,1,34,1474.130737,0.997774422
1,1,3,2,26,1591.034668,1.008883238
1,3,3,1,28,1143.666626,1.23669517
1,5,1,1,44,1455.249878,1.033447742
1,3,3,2,43,1297.393066,0.9330948
1,1,3,1,34,5992.041504,1.077038527
1,1,3,2,43,370.8611145,1.031378031
1,2,3,1,18,1291,1.08938086
1,2,3,2,16,337.6736145,1.211969256
1,3,3,2,34,1174.32666,0.94556123
1,1,3,1,25,862.333252,1.228375196
1,1,3,1,28,2378,1.288749099
1,2,3,2,27,1277,1.048217893
1,5,1,2,58,1623.07666,0.968949258
1,4,3,1,25,684.999939,1.145503998
1,3,3,2,23,1009.333313,0.967363298
1,1,3,2,33,1231,0.930707693
1,5,2,2,87,1291.749634,1.712414145
1,3,3,2,31,1777.660034,0.956058204
1,1,3,1,34,2191.034668,0.999991536
1,4,3,2,55,411,1.105239511
9,3,3,1,38,1768.081787,0.236784577
10,4,3,2,36,1748.179077,0.20559442
1,2,3,1,85,864.0681152,1.188978672
9,3,3,1,21,812.5823975,0.603079498
9,1,3,1,16,659.4014893,0.485571414
9,3,3,1,43,1276.165527,0.466954678
1,4,3,1,75,1640.999878,1.035280466
11,2,3,2,29,1137.326538,0.202092156
-7,3,-7,1,30,4.333333492,0.213047519
9,3,3,2,50,916.1676636,0.343229771
9,1,3,2,19,772,0.490471423
9,3,3,1,50,533.8532715,0.294973463
9,4,3,2,46,286.6599731,0.242041066
9,3,3,2,20,129.6980896,0.302217364
13,3,3,1,18,0,0.282259822
11,3,3,1,39,1524.7323,0.289621055
9,4,3,2,29,1191.66333,0.440269947
9,1,3,2,32,3991,0.175512314
1,1,3,2,30,545.9933472,1.085615873
1,4,3,2,61,425.5211487,1.059019089
1,3,3,1,80,1738.045898,1.040823817
1,2,3,2,76,419.3963623,1.168723583
1,4,3,1,30,441.7229614,0.875335395
1,3,2,2,24,1533.660034,1.040094495
1,2,3,1,34,1791,1.070353031
1,3,3,2,71,1352.250122,0.985433578
1,1,3,2,64,264.666687,0.955646276
1,3,3,1,64,1494.122192,0.92209667
1,3,3,2,49,1191,1.063071489
1,3,3,1,57,1991,1.330941677
1,2,3,2,21,691,1.268853784
1,2,3,1,49,1921.208374,1.087142706
1,2,3,2,48,2742.388916,0.891631126
1,2,3,2,50,1151,0.941294491
1,2,3,2,21,608.333313,1.124916792
-7,1,-7,1,19,1129.676636,1.121343255
1,1,3,1,19,791,1.121343255
4,2,3,1,32,2320.81665,0.92685771
1,1,3,2,25,1861.694336,0.947227299
11,4,3,1,54,2651.006836,1.037923455
1,4,3,2,50,1577.660034,0.853987455
1,1,3,2,32,930.5892334,0.933971286
-7,2,-7,1,29,748.828186,1.230094433
1,3,3,1,65,892.6665649,0.915663064
1,4,1,1,45,588.6119995,0.981369436
1,5,2,2,67,0,0.933797896
1,2,3,1,71,21.38889122,0.965712607
1,5,1,2,48,110.0000153,0.88469094
1,2,3,2,53,83.36805725,0.756433666
1,1,3,2,46,2228.582031,0.865540564
1,2,3,2,57,91.16947937,0.91034168
1,1,3,1,74,1582.055542,0.922314286
1,3,2,2,83,840.37146,1.008522391
4,1,3,2,42,1302.79895,0.879772365
1,3,3,1,45,1111.833374,1.040049791
1,2,3,1,23,1000,0.96569407
1,2,3,2,21,1592.388916,0.893826723
1,2,3,2,33,1991,0.870938301
1,3,2,2,44,201.0599976,0.947186947
1,4,2,1,44,1046.500122,1.061531067
1,3,2,2,60,1555.472412,0.883181155
1,4,1,1,82,617.847168,1.004442096
1,5,1,2,74,1178.263794,0.974271953
1,3,2,2,53,2321.580078,0.868432045
1,3,3,1,17,0,0.969917536
1,4,1,2,49,841.7750854,0.909467399
1,1,3,1,21,164.3333282,1.067489624
1,2,3,2,45,585.9358521,0.901598155
1,1,3,1,46,2295.594727,1.11648035
1,1,3,1,17,0,0.916157544
1,2,3,1,35,3358.177002,1.021732807
1,2,3,2,34,1890.374634,0.898588002
1,2,3,2,61,1903.462524,0.953102112
1,1,3,1,64,688.2321777,0.908656418
1,3,3,2,42,1421.097534,0.995824218
1,4,3,1,41,2291,1.09953618
1,2,3,2,85,1003.333252,1.73886025
1,4,1,2,84,1927.833496,0.9892205
1,2,3,1,20,294.3333435,1.369198799
1,1,3,2,21,0,1.205752492
1,2,3,2,20,0.486111194,1.294314384
1,1,1,2,21,0,1.294314384
1,2,2,2,29,1363.26001,0.918465674
1,1,3,1,42,1874.388916,1.013690591
1,2,3,2,34,1997.944458,0.904377401
1,2,1,1,50,3591,1.073937654
1,1,3,2,51,2291,0.864381373
1,1,3,1,31,1.388888478,1.034382939
1,4,2,2,82,1246.20813,1.121226668
17,3,3,1,33,2158.361084,0.521456122
-7,4,-7,2,64,0,0.488852412
1,4,2,2,86,1060.863037,1.606359363
1,1,3,1,22,508.3334045,1.367190361
1,1,3,1,21,141,1.367190361
1,2,3,1,58,516.5680542,1.062612534
1,4,2,2,57,2089.693848,0.962880909
1,3,3,2,37,1147.670898,0.899693847
1,2,3,1,39,1091.104126,1.032225966
12,2,3,2,20,0.694444418,0.581000566
1,2,3,1,20,500.0000305,1.640320182
13,2,3,2,26,175.0752869,0.406453758
13,1,3,2,29,2999.999023,0.349277973
1,1,3,1,22,0,2.007417917
1,4,3,2,20,166.6666565,1.675447583
1,2,3,2,20,266.6667175,1.581575155
1,3,3,2,21,1024.472168,1.200923562
1,3,3,1,23,0,1.322857141
1,3,3,2,21,533.333252,1.321517467
1,2,3,1,21,300.0000305,1.567986846
1,4,2,2,21,502.3333435,1.370842695
1,2,3,2,30,1074.333374,1.08602488
1,5,1,2,62,408.5620117,1.198918462
1,5,1,1,63,190.559967,1.14153409
1,2,2,2,66,775.5134277,1.171132326
4,2,3,1,33,-388.8888855,1.221918821
1,2,3,2,29,2771,1.243099689
1,2,3,1,67,1028.999878,1.290266156
1,3,3,2,66,2.777777672,1.213837385
1,4,3,1,52,961.694458,1.317094803
1,2,3,2,43,1221.694458,1.249300838
1,2,3,1,20,1091,1.655845165
1,1,1,1,61,1056.166626,1.09742558
1,1,3,2,62,464.4166565,1.153064966
